source_error	https://www.dcceew.gov.au/rss-feed	https://www.dcceew.gov.au/rss-feed	HTTPSConnectionPool(host='www.dcceew.gov.au', port=443): Read timed out. (read timeout=25.0)
source_error	https://www.aemo.com.au/newsroom	https://www.aemo.com.au/newsroom	403 Client Error: Forbidden for url: https://www.aemo.com.au/newsroom
source_error	https://www.aemo.com.au/newsroom/media-release	https://www.aemo.com.au/newsroom/media-release	403 Client Error: Forbidden for url: https://www.aemo.com.au/newsroom/media-release
source_error	https://www.aer.gov.au/news	https://www.aer.gov.au/news	HTTPSConnectionPool(host='www.aer.gov.au', port=443): Read timed out. (read timeout=25.0)
source_error	https://www.infrastructureaustralia.gov.au/news-media	https://www.infrastructureaustralia.gov.au/news-media	HTTPSConnectionPool(host='www.infrastructureaustralia.gov.au', port=443): Read timed out. (read timeout=25.0)
source_error	https://www.iea.org/news	https://www.iea.org/news	403 Client Error: Forbidden for url: https://www.iea.org/news
source_error	https://www.irena.org/news	https://www.irena.org/news	403 Client Error: Forbidden for url: https://www.irena.org/news
source_error	https://www.irena.org/Newsroom/Articles	https://www.irena.org/Newsroom/Articles	403 Client Error: Forbidden for url: https://www.irena.org/Newsroom/Articles
source_error	https://www.dcceew.gov.au/energy/news	https://www.dcceew.gov.au/energy/news	HTTPSConnectionPool(host='www.dcceew.gov.au', port=443): Read timed out. (read timeout=25.0)
low_substance	score=-1 min=2	https://www.aemc.gov.au/news-centre/media-releases
out_of_range		https://www.aemc.gov.au/news-centre/media-releases/aemc-applies-new-emissions-reduction-objective
out_of_range		https://www.aemc.gov.au/news-centre/media-releases/aemc-undertake-critical-review-reconsider-role-electricity-networks-transition
out_of_range		https://www.aemc.gov.au/market-reviews-advice/electricity-network-regulation-review
out_of_range		https://www.aemc.gov.au/news-centre/media-releases/aemcs-final-rule-gives-consumers-smarter-data-options
out_of_range		https://www.aemc.gov.au/rule-changes/real-time-data-consumers
out_of_range		https://www.aemc.gov.au/rule-changes/real-time-data-consumers-retail
out_of_range		https://www.aemc.gov.au/news-centre/media-releases/aemc-starts-consultation-isp-review
out_of_range		https://www.aemc.gov.au/market-reviews-advice/review-integrated-system-plan-framework
out_of_range		https://www.aemc.gov.au/news-centre/media-releases/electricity-pricing-reforms-target-fairness-lower-costs
out_of_range		https://www.aemc.gov.au/market-reviews-advice/pricing-review-electricity-pricing-consumer-driven-future
out_of_range		https://www.aemc.gov.au/charging-ahead-residential-batteries-are-growing-popularity-and-profitability
out_of_range		https://www.aemc.gov.au/energeia-finds-cer-flexibility-could-deliver-45b-benefits-2050
out_of_range		https://www.aemc.gov.au/ess-system-security-update-aemc-reform-work-program
out_of_range		https://www.aemc.gov.au/you-can-be-anything-barbies-power-quest
out_of_range		https://www.aemc.gov.au/market-reviews-advice/transmission-planning-and-investment-review
out_of_range		https://www.aemc.gov.au/sites/default/files/2021-11/4145_AEMC-Price-Trends-2021_National%20A_v4.pdf
out_of_range		https://www.aemc.gov.au/news-centre/speeches/energy-revolution-our-homes
out_of_range		https://www.aemc.gov.au/news-centre/speeches/redesigning-rules-how-regulation-can-enable-smarter-fairer-energy-system
out_of_range		https://www.aemc.gov.au/news-centre/speeches/aemcs-20th-anniversary
out_of_range		https://www.aemc.gov.au/news-centre/speeches/navigating-dual-trends-power-systems
out_of_range		https://www.aemc.gov.au/news-centre/infographics/smart-meters-are-key-enabler-transition-net-zero
out_of_range		https://www.aemc.gov.au/news-centre/infographics/improving-certainty-enable-transmission-needed-net-zero
out_of_range		https://www.aemc.gov.au/news-centre/videos/reconciliation-action-plan
out_of_range		https://www.aemc.gov.au/news-centre/videos/making-solar-batteries-and-new-energy-technology-work-everyone
out_of_range		https://www.aemc.gov.au/news-centre/videos/better-way-read-rules
out_of_range		https://www.aemc.gov.au/news-centre/videos/webinar-efficient-management-system-strength
out_of_range		https://www.aemc.gov.au/news-centre/submissions-to-enquiry
out_of_range		https://www.aemc.gov.au/market-reviews-advice/future-wholesale-market
out_of_range		https://www.aemc.gov.au/news-centre/corporate-publications/rule-drafting-philosophy
out_of_range		https://www.aemc.gov.au/news-centre/corporate-publications/prioritisation-regulatory-initiatives-stakeholder-consultation
out_of_range		https://www.aemc.gov.au/news-centre/corporate-publications/joint-market-body-prioritisation-framework
out_of_range		https://www.aemc.gov.au/news-centre/corporate-publications/prioritising-implementation-timeframes-more-detailed-view
out_of_range		https://www.aemc.gov.au/terms-use
out_of_range		https://www.aemc.gov.au/terms-use/sitemap
out_of_range		https://www.cer.gov.au/news-and-media/news#main-content
out_of_range		https://www.cer.gov.au/about-us/contact-us
out_of_range		https://www.cer.gov.au/careers
out_of_range		https://www.cer.gov.au/news-and-media/media-centre
out_of_range		https://www.cer.gov.au/about-us
out_of_range		https://www.cer.gov.au/about-us/who-we-are
out_of_range		https://www.cer.gov.au/about-us/our-policies
out_of_range		https://www.cer.gov.au/about-us/our-reports-and-accountability
out_of_range		https://www.cer.gov.au/about-us/our-compliance-approach
out_of_range		https://www.cer.gov.au/about-us/supporting-renewable-energy
out_of_range		https://www.cer.gov.au/schemes/renewable-energy-target
out_of_range		https://www.cer.gov.au/schemes/renewable-energy-target/information-householders
out_of_range		https://www.cer.gov.au/schemes/renewable-energy-target/small-scale-renewable-energy-scheme
out_of_range		https://www.cer.gov.au/schemes/large-scale-renewable-energy-target
out_of_range		https://www.cer.gov.au/schemes/renewable-energy-target/renewable-energy-target-liability-and-exemptions
out_of_range		https://www.cer.gov.au/schemes/renewable-energy-target/renewable-energy-target-participants-and-industry
out_of_range		https://www.cer.gov.au/schemes/australian-carbon-credit-unit-scheme
out_of_range		https://www.cer.gov.au/schemes/australian-carbon-credit-unit-scheme/how-to-participate-accu-scheme
out_of_range		https://www.cer.gov.au/schemes/australian-carbon-credit-unit-scheme/accu-scheme-methods
out_of_range		https://www.cer.gov.au/schemes/australian-carbon-credit-unit-scheme/australian-carbon-credit-units
